parent_id,child_id
8419ee9d-d2c6-4588-afcc-42719e835f63,25c84a98-4d0b-45e6-8b32-91ea81fe36a0
25c84a98-4d0b-45e6-8b32-91ea81fe36a0,d76e865c-4a60-49cb-8f42-39360d372640
d76e865c-4a60-49cb-8f42-39360d372640,b54cb38a-27ab-4d51-ba3e-6804f8b70aba
b54cb38a-27ab-4d51-ba3e-6804f8b70aba,b10e6d71-d27e-48a6-b9a4-cb6eeeb77d62
b54cb38a-27ab-4d51-ba3e-6804f8b70aba,5b5d3c0f-ee20-4c97-93c7-f9c34b485679
b54cb38a-27ab-4d51-ba3e-6804f8b70aba,ea678633-ed0f-4c68-9d8d-e14cb4cfd4dc
b54cb38a-27ab-4d51-ba3e-6804f8b70aba,e4f56225-ceff-4de7-9da1-c746d1876234
d76e865c-4a60-49cb-8f42-39360d372640,0fff988f-a6fc-41b9-9374-f996f987694b
0fff988f-a6fc-41b9-9374-f996f987694b,6d193878-3d9e-44e5-bcb9-f576b96ed311
6d193878-3d9e-44e5-bcb9-f576b96ed311,e8955037-8a56-4efd-9362-3251bba7e119
6d193878-3d9e-44e5-bcb9-f576b96ed311,392ef1ef-0414-4e35-8393-851926e62f58
6d193878-3d9e-44e5-bcb9-f576b96ed311,ec9f4588-a5a2-44e1-89d5-239f27488951
6d193878-3d9e-44e5-bcb9-f576b96ed311,6f0ff7eb-873d-403b-b040-8aeb36c2c84f
0fff988f-a6fc-41b9-9374-f996f987694b,68c03f35-ffcf-4606-8e7c-ed82139fe621
68c03f35-ffcf-4606-8e7c-ed82139fe621,3f8d8890-15f9-4394-bacb-b063d87f65e1
68c03f35-ffcf-4606-8e7c-ed82139fe621,c4de6a48-2c80-4155-9656-b2512dfc9c47
68c03f35-ffcf-4606-8e7c-ed82139fe621,a3831dae-9054-47c7-bd1e-2759f679ed84
68c03f35-ffcf-4606-8e7c-ed82139fe621,7527a596-0cbe-4ce7-a772-7373435884a4
68c03f35-ffcf-4606-8e7c-ed82139fe621,c60ef6bd-040e-44ef-a0fb-4a4c76b19e0f
0fff988f-a6fc-41b9-9374-f996f987694b,c0de9a52-cc7e-417a-9c77-2cf4d4419c1a
c0de9a52-cc7e-417a-9c77-2cf4d4419c1a,15a9aefb-33cf-40fb-9636-97e65d0c0bf4
c0de9a52-cc7e-417a-9c77-2cf4d4419c1a,a66596e7-926a-4e22-b945-618847d9a71d
c0de9a52-cc7e-417a-9c77-2cf4d4419c1a,e8bc9cf8-ed12-48ca-9ee3-2660eef84047
c0de9a52-cc7e-417a-9c77-2cf4d4419c1a,78db4ea3-8f58-4a4d-b0f6-665e6b260281
0fff988f-a6fc-41b9-9374-f996f987694b,e5a1ed68-e815-4cf9-b7e1-1c269ac3cfb9
e5a1ed68-e815-4cf9-b7e1-1c269ac3cfb9,f336e4fc-1f64-46c5-a817-c63905ae28de
e5a1ed68-e815-4cf9-b7e1-1c269ac3cfb9,8c14dcad-314e-490a-af2c-249027d61727
e5a1ed68-e815-4cf9-b7e1-1c269ac3cfb9,4e6535ae-37e0-4f21-88c8-d78fdb22d22f
e5a1ed68-e815-4cf9-b7e1-1c269ac3cfb9,3690daca-24ca-45bf-829c-491c2668a411
0fff988f-a6fc-41b9-9374-f996f987694b,45b792a8-9854-492e-bea3-3725e0c5febf
45b792a8-9854-492e-bea3-3725e0c5febf,95a39248-1800-428f-adb0-5d39667f0d8d
